,jobTitle,companyName,local,postedTime,jobDetails
0,Data Engineer,                 Capgemini Engineering               ,"               Lisboa, Portugal             ",,"   Our offerCapgemini Engineering is constantly growing and attentive to market opportunities and in search of the best professionals to join its team. We are looking for an Data Engineer Senior to join a challenging project in one of our large clients and market leader in its segment. If you are looking for a new challenge and with great prospects for growth in your career, come join us.Your profileDegree in Telecommunications, Computer Science or equivalent major;More 5 years experienceExperience with Cloudera Impala; Experience with SQL ; Experience with PostgreSQL;Experience with Airflow;Experience with Hive;Good Data Modelling Skills;We value previous experience in Agile; We value experience with Kubernetes (but in Azure); We value experience in Cloud environment ; Capacity to structure and interpret complex information ; Excellent communication skills and teamwork ; Fluency in English.What You Can Expect - There is no top-down hierarchy. We trust in your self-organization;- Colleagues that are as smart, hardworking and driven as you;- An amazing open-minded and informal culture with the backup of a giant company like Capgemini Engineering;- Health insurance for you and your family;- Life insurance;- Proactive self-development in international Trainings and Conferences;- Language Training courses;- Flexible working hours;- Regular team events;- Working with a motivated and talented international team;- Much more cool stuff! If you would like to know more about what it's like to work at Capgemini Engineering, you can follow our daily life and tech challenges on Facebook, Instagram, Twitter. ApplicationFind this and other job opportunities in our website https://capgemini-engineering.com/pt or through e-mail catarinaferreira.monteiro@capgemini.com with the REF.: Data Engineer           Exibir mais                     Exibir menos             "
1,Data Analyst,                 Deloitte               ,"               Lisboa, Lisboa, Portugal             ",                                                                                                                                                                       Há 3 semanas          ,"   Na Deloitte, oferecemos uma experiência profissional que inspira talentos como tu a transformar o mundo como o conhecemos, a torná-lo mais humano, eficiente e tecnológico. Somos um Tech Hub internacional e estamos à procura dos melhores especialistas em tecnologia para se juntarem à nossa comunidade, para desenvolverem soluções únicas e inovadoras nos mais variados e complexos projetos de transformação, de Portugal para o mundo.Queremos reforçar a nossa equipa de SA&MA [Strategy, Analytics & M&A] com perfis data lovers, data enthusiasts, data science fans. Se te identificas com um destes, candidata-te sem hesitar, és o data analyst que procuramos!O teu dia a dia e responsabilidades: Integrar e participar ativamente em projetos de consultoria tecnológica com uma vertente focada em projetos de dados: ETL, Big Data, real-time analytics e Reporting que envolvem várias tecnologias como Azure, AWS, Snowflake, SSIS, IBM Datastage, Power BI, Tableau, Kafka, Hadoop, Spark, MongoDB, entre outras;Participar em análises de dados utilizando linguagens SQL e No-SQL;Participar na comunicação com vários stakeholders para a definição, tratamento de dados e implementação de dashboards executivos;És tu quem procuramos? Tens formação superior nas áreas de Engenharia ou similares?Consegues comunicar na língua inglesa?Consideras ter uma boa comunicação oral e escrita?Tens vontade de trabalhar em equipa, colaborar e construir a tua carreira nas áreas de Analystics?Gostas de trabalhar com dados? As cadeiras que mais te cativaram na faculdade estão relacionadas com bases de dados, ETL, Cloud ou similares?Desenvolve uma carreira à tua medidaNum contexto de trabalho diverso que permite um desenvolvimento e aprendizagem contínuos;Através de um plano de desenvolvimento de carreira personalizado (skills/ oportunidades técnicas e funcionais), adequado ao momento, às tuas necessidades e objetivos;Participando em projetos nacionais e internacionais, com dimensão e impacto relevante nesta área de especialização. Vive uma cultura de uniãoUma cultura de inovação e excelência que nos torna líderes e percursores de tendências;Um ambiente amigável, de respeito, confiança, transparência e informalidade;Uma rede para a vida que te faz estar ligado ao melhor conhecimento ao lado de líderes e especialistas;Uma oportunidade para fazeres parte das nossas comunidades (de Tech, desporto e outros interesses) e para participares ativamente em projetos de responsabilidade social. Sobre a DeloitteNa Deloitte nunca trabalharás sozinho. Terás a oportunidade de integrar diversos projetos de transformação e fazer parte de uma equipa que te vai inspirar e ajudar a desenvolver soluções diferenciadoras, num ambiente dinâmico e colaborativo, onde podes dar o melhor de ti e beneficiar das nossas iniciativas de bem-estar e flexibilidade. Somos mais de 3000 pessoas em Portugal, das quais mais de 1000 trabalham em áreas tecnológicas, a partir de dois escritórios, dois Digital Studios, em Lisboa e no Porto, e de três polos tecnológicos em Viseu, Setúbal e Leiria. Poderás integrar os nossos centros de excelência que demonstram a nossa liderança global em OutSystems (low code), engenharia de redes de telecomunicações, ServiceNow e Apptio (technology business management), Finastra (financial services industry), TIA e Guidewire (insurance industry). Se ambicionas aprofundar as tuas competências nestas áreas - software engineering, systems integration, data analytics, data science, cyber risk, technology solutions, network engineering, UX design - e gostas de trabalhar com tecnologias como AWS, Microsoft, Oracle, Salesforce, IBM, SAP, Feedzai e SAS, este é o teu lugar.Sabe mais em www.deloitte.com/pt/careers.           Exibir mais                     Exibir menos             "
2,Data Engineer,                 Bose Corporation               ,"               Lisboa, Portugal             ",                                                                                                                                                                       Há 3 semanas          ,"   About Us At Bose, better sound is just the beginning. We’re passionate engineers, developers, researchers, retailers, marketers … and dreamers. One goal unites us — to create products and experiences our customers simply can’t get anywhere else. We are driven to help people reach their fullest human potential. Creating technology to help people to feel more, do more, and be more. We are highly motivated and curious, and we come to work every day looking to solve real problems and make the best experiences for our customers possible. The Bose Data Engineering team is responsible for design, development and enhancement of Bose Data Platforms (Analytics & Customer Data Platforms) in leading and supporting Advanced Analytics & AI/ML workloads. This team is highly impactful and a key enabler of Bose Digital journey by playing a central role in the Data driven transformation.  What you will be working on? As a Data Engineer you will work on developing Data Platforms that turn Data into actionable insights as part of our digital journey. Enable capabilities and provide business partners with the tools to make their decision-making process more efficient and with greater speed. As part of an agile delivery team, you will design, develop, deploy and support the data ingestion pipelines and the data access solutions for our Data Platform ecosystem. This role requires knowledge and hands-on experience with large data processing and ML technologies, in a tech stack composed by the Kafka ecosystem, Spark, Snowflake and Python/Scala. ·      Implement and maintain producers and consumers of data sources owned by the Data Engineering team, ensuring data quality and schema management.·      Support other teams in the implementation of producers and consumers for their data sources, facilitating the creation of stream processing data pipelines.·      Stay up to date on relevant technologies, plug into user groups, understand trends and opportunities that ensure we are using the best techniques and tools·      Collaborate with AWS Cloud Architects to optimize and evaluate scalable and serverless solutions. Qualifications (Demonstrated Competence):·      Degree in Computer Science (or equivalent).·      Developed and implemented a full data lifecycle management of data pipelines in a complex Data Platform environment.·      You know how to work with high volume heterogeneous data, preferably with distributed systems.·      You are knowledgeable about data modeling, data access, and data storage techniques.·      You have a command of various programming languages to collect and manipulate data such as Python, and SQL.·      You have worked with a variety of cloud and data solutions, such as the Kafka ecosystem, AWS, Snowflake, Spark and Airflow.·      You appreciate agile software processes, data-driven development, reliability, and responsible experimentation.·      You have some experience or knowledge implementing data security and privacy in a Cloud environment. Highly Desirable But Not Required Skills Include:·      Experience with cloud computing (Amazon Web Services preferred).·      Knowledgeable about the Machine Learning lifecycle.·      Experience with implementing Cloud Data Platform with emphasis on building out a Customer 360 platform. Perks ·      Highly competitive benefit package ·      State of the art technological environment  ·      Employee product discounts ·      Create and shape our local company culture with the support of a fantastic global group ·      Continuous training and career development  Are you interested?We are looking forward to your application!For further information about the opportunity or to apply, please contact us via ITCareers_Portugal@bose.com Note: Thank you in advance for your application. After reviewing all the applications, we will only contact the candidates who fulfill the requirements for this position. So, if you don’t receive a contact in the next 15 days, we will keep your application for future opportunities that fit your profile.           Exibir mais                     Exibir menos             "
3,Data Engineer (f/m/x),                 Mercedes-Benz.io               ,               Portugal             ,                                                                                                                                                                       Há 2 semanas          ,"   HEY THERE!We are Mercedes-Benz.io. Our mission is to create digital experiences to shape the way for the future of Mercedes-Benz and a new world of mobility.  We don’t care about your shoes, as long as you are wearing the right attitude. At Mercedes-Benz.io we walk the talk and make things happen. We do not digitize for the sake of being digital but for a better tomorrow for our customers. That’s not our job; it’s our passion. Therefore, we love to reflect and challenge everything – the status quo, Mercedes-Benz and ourselves. We share the same beliefs and stand up for each other and this is why we hire unique people. IN THIS ROLE YOU WILLWork in one of our data analytics teams building and maintaining data pipelines and the analytics infrastructure. We are currently recruiting multiple positions:  Data Analytics and reporting platform for the digital product portfolio: You will be connecting and integrating various cloud–based data sources such as web tracking, e-commerce and CRM systems. Your ETL processes will make sure that reliable data can be provisioned as fast as possible to the various data consumers such as Digital Analysts, Data Scientists or other departments of Mercedes-Benz. You will be working in a small dedicated data platform team and join forces to increase our overall data maturity.  Car Data Analytics: you join forces with Analysts and Data Scientists to distill insights for product optimization from various data sources covering sales and usage. You will be working in a small dedicated data analytics team together with Analysts and Data Scientists. Your main focus will be on setting up and professionalizing the infrastructure and data processing pipelines as well as data cleaning and preparation for analytics use cases. TO SUCCEED YOU NEED2+ years of hands-on software engineering experience and the ability to write efficient, well-tested and maintainable code with a focus on performance and scalability Profound skills in Python and SQL Experience with relational databases and big data technologies (Apache Spark) Experience crafting data solutions and deploying data pipelines in production using the Microsoft Azure Cloud solutions (Azure Databricks, Data Factory, Azure DevOps) Solid command line skills THERE WILL BE BIG SMILES IF YOUHave experience working with Kubernetes Have experience working with scheduling tools such as Apache Airflow  YOU WILL BE HAPPY WITHOpen source softwareNo top-down hierarchy. We trust in your self-organizationColleagues that are as smart, hardworking and driven as youAn amazing open-minded and informal culture with the backup of a giant company like Mercedes-BenzIPhone,MacBook Pro or Dell (your choice) and noise-cancelling headphones Health insurance for you and your family Life insuranceProactive self-development in international Trainings and Conferences Language Training courses Feel good actions (massages, nutrition sessions, happy hour and more)Brand Connection Perks (Test Drives, Renting Programs and more) Much more cool stuff …﻿WHAT YOU’LL NEED TO KNOW ABOUT USMercedes-Benz.io develops software and technology for the digital platforms of Mercedes-Benz. We are focused on creating digital experiences for the future of Mercedes-Benz mobility worldwide, developing products for Sales & Marketing.Our main products are the Mercedes-Benz Website worldwide, the e-commerce platform digital services and aftersales solutions.   We work in Holacracy – a “non-classical” framework which represents our operating system within the company. Our setup is based on purpose, circles and roles as well as their specific accountabilities. This is a full-time position, based in our office in Lisbon. We have a fantastic team with people from all over the world. We encourage frequent collaboration and pairing across disciplines. English is the main working language. Mercedes-Benz.io is an equal opportunities employer. We believe that diverse experiences and a broad collective perspective lead to a better company culture and better products. Interested in engaging with a continuously evolving company to work hard, play hard and party hard? If so, please send your resumé (in English and PDF).            Exibir mais                     Exibir menos             "
4,Data Engineer,                 Bose Corporation               ,"               Lisboa, Lisboa, Portugal             ",                                                                                                                                                                       Há 4 dias          ,"   About Us Job Description At Bose, better sound is just the beginning. We’re passionate engineers, developers, researchers, retailers, marketers … and dreamers. One goal unites us — to create products and experiences our customers simply can’t get anywhere else. We are driven to help people reach their fullest human potential. Creating technology to help people to feel more, do more, and be more. We are highly motivated and curious, and we come to work every day looking to solve real problems and make the best experiences for our customers possible.The Bose Data Engineering team is responsible for design, development and enhancement of Bose Data Platforms (Analytics & Customer Data Platforms) in leading and supporting Advanced Analytics & AI/ML workloads. This team is highly impactful and a key enabler of Bose Digital journey by playing a central role in the Data driven transformation. What you will be working on? As a Data Engineer you will work on developing Data Platforms that turn Data into actionable insights as part of our digital journey. Enable capabilities and provide business partners with the tools to make their decision-making process more efficient and with greater speed. As part of an agile delivery team, you will design, develop, deploy and support the data ingestion pipelines and the data access solutions for our Data Platform ecosystem. This role requires knowledge and hands-on experience with large data processing and ML technologies, in a tech stack composed by the Kafka ecosystem, Spark, Snowflake and Python/Scala.Implement and maintain producers and consumers of data sources owned by the Data Engineering team, ensuring data quality and schema management.Support other teams in the implementation of producers and consumers for their data sources, facilitating the creation of stream processing data pipelines.Stay up to date on relevant technologies, plug into user groups, understand trends and opportunities that ensure we are using the best techniques and toolsCollaborate with AWS Cloud Architects to optimize and evaluate scalable and serverless solutions.Qualifications (Demonstrated Competence)Degree in Computer Science (or equivalent).Developed and implemented a full data lifecycle management of data pipelines in a complex Data Platform environment.You know how to work with high volume heterogeneous data, preferably with distributed systems.You are knowledgeable about data modeling, data access, and data storage techniques.You have a command of various programming languages to collect and manipulate data such as Python, and SQL. You have worked with a variety of cloud and data solutions, such as the Kafka ecosystem, AWS, Snowflake, Spark and Airflow.You appreciate agile software processes, data-driven development, reliability, and responsible experimentation.You have some experience or knowledge implementing data security and privacy in a Cloud environment.Highly Desirable But Not Required Skills IncludeExperience with cloud computing (Amazon Web Services preferred).Knowledgeable about the Machine Learning lifecycle.Experience with implementing Cloud Data Platform with emphasis on building out a Customer 360 platform. Perks Highly competitive benefit package State of the art technological environment Employee product discounts Create and shape our local company culture with the support of a fantastic global group Continuous training and career development  Are you interested?  We are looking forward to your application!  For further information about the opportunity or to apply, please contact us via ITCareers_Portugal@bose.com Note Thank you in advance for your application. After reviewing all the applications, we will only contact the candidates who fulfill the requirements for this position. So, if you don’t receive a contact in the next 15 days, we will keep your application for future opportunities that fit your profile.           Exibir mais                     Exibir menos             "
5,Data Engineer,                 NEX T Engineering               ,"               Lisboa, Portugal             ",                                                                                                                                                                       Há 6 dias          ,"   Your NEX T step is right here!Procuramos qualidade e força de vontade !Gostas de partilhar, celebrar o sucesso em conjunto?Escutas, pensas e propões?Utilizas o inesperado para ter sucesso?Gostas de inspirar os outros com a tua atitude?Be the NEX T Data Engineer !Requisitos:Licenciatura em Ciências da Computação ou similarMínimo 5 anos de experiência como Data EngineeringExperiência com Azure Development Skills (incluindo experiência com Azure Data Factories e Azure Databricks)Conhecimentos aprofundados em SQL ServerFluência em inglêsA NEX T é uma consultora tecnológica que atua a nível nacional e internacional, com principal foco na área de Sistemas de Informação, Marketing Digital, Data Mining, Data Science e Automação de Processos.Conta connosco para:Superares os teus objetivos!Evoluíres na tua carreira profissional;Teres acompanhamento personalizado;Adquirires mais conhecimentos através do nosso Plano de Formação;Fazeres parte de uma equipa em grande crescimento.Your NEX T step is right here!Partilha o teu cv para mafalda.cortesao@nextengineering.pt com a REFª MCO           Exibir mais                     Exibir menos             "
6,Analista de Dados - Telecomunicações,                 EGOR               ,"               Lisboa, Lisboa, Portugal             ",                                                                                                                                                                       Há 4 semanas          ,"           A EGOR OUTSOURCING admite Analista para colaborar em Empresa Cliente do setor das Telecomunicações.FunçãoIntegrado na Direção Financeira, terá responsabilidades no âmbito de análise dados e tomada de decisões.Horário e Local De Trabalho De 2ªf a 6ªf, a definir entre as 9h00 e as 18h00  Lisboa (Campo Grande)/Porto Requisitos 12º Ano (valoriza-se Licenciatura)  Conhecimentos em SQL/ORACLE  Noções de Access  Nível intermédio de Excel (vlookup's, pivot tables, fórmulas simples) Oferecemos Contrato de Trabalho;  Remuneração base + Subsídio de Alimentação + Prémios Mensais;  Projeto de continuidade em empresa de referência a nível nacional. EGOR OUTSOURCING – GRUPO EGORGrupo EGOR - www.egor.ptOs candidatos considerados serão contactados no prazo máximo de 10 dias úteis.                 Exibir mais                     Exibir menos             "
7,Data Engineer,                 DBServices Portugal               ,               Portugal             ,                                                                                                                                                                       Há 2 semanas          ,"           Qualifications- BSc or higher degree in Computer Science or equivalent Software Engineering experience.- Between 3 to 9 years of experience in designing and implementing scalable software and data-driven services using Big Data technologies, data storages (e.g. relational databases, key-value stores), data warehouses, and related data processing technologies, as well as programming languages such as Scala / Java / Python (for real-time and batch processing);- Experience in building and optimizing data pipelines that process large datasets using Spark and - Hadoop environment;- Familiar with working on cloud environments especially with data related services, for example BigQuery, Dataproc, GCS on Google Cloud Platform;- Hands-on experience in analyzing large datasets (e.g. with SQL, Spark, Python, Hive etc.);- Experience with workflow management platforms (like Airflow) and collaborative platforms (like Jupyter or Zeppelin);- Knowledge of YAML (data serialization);- Microsoft Azure and PowerBI is a plus;- Some experience in the domain of information retrieval, information extraction or machine learning is a plus;- Good knowledge of Agile methodologies (Scrum, Kanban);- Available to live in Portugal.                 Exibir mais                     Exibir menos             "
8,Data Engineer,                 Bose Corporation               ,"               Lisboa, Lisboa, Portugal             ",                                                                                                                                                                       Há 1 mês          ,"   About Us Job Description At Bose, better sound is just the beginning. We’re passionate engineers, developers, researchers, retailers, marketers … and dreamers. One goal unites us — to create products and experiences our customers simply can’t get anywhere else. We are driven to help people reach their fullest human potential. Creating technology to help people to feel more, do more, and be more. We are highly motivated and curious, and we come to work every day looking to solve real problems and make the best experiences for our customers possible.The Bose Data Engineering team is responsible for design, development and enhancement of Bose Data Platforms (Analytics & Customer Data Platforms) in leading and supporting Advanced Analytics & AI/ML workloads. This team is highly impactful and a key enabler of Bose Digital journey by playing a central role in the Data driven transformation. What you will be working on? As a Data Engineer you will work on developing Data Platforms that turn Data into actionable insights as part of our digital journey. Enable capabilities and provide business partners with the tools to make their decision-making process more efficient and with greater speed. As part of an agile delivery team, you will design, develop, deploy and support the data ingestion pipelines and the data access solutions for our Data Platform ecosystem. This role requires knowledge and hands-on experience with large data processing and ML technologies, in a tech stack composed by the Kafka ecosystem, Spark, Snowflake and Python/Scala.Implement and maintain producers and consumers of data sources owned by the Data Engineering team, ensuring data quality and schema management.Support other teams in the implementation of producers and consumers for their data sources, facilitating the creation of stream processing data pipelines.Stay up to date on relevant technologies, plug into user groups, understand trends and opportunities that ensure we are using the best techniques and toolsCollaborate with AWS Cloud Architects to optimize and evaluate scalable and serverless solutions.Qualifications (Demonstrated Competence)Degree in Computer Science (or equivalent).Developed and implemented a full data lifecycle management of data pipelines in a complex Data Platform environment.You know how to work with high volume heterogeneous data, preferably with distributed systems.You are knowledgeable about data modeling, data access, and data storage techniques.You have a command of various programming languages to collect and manipulate data such as Python, and SQL.You have worked with a variety of cloud and data solutions, such as the Kafka ecosystem, AWS, Snowflake, Spark and Airflow.You appreciate agile software processes, data-driven development, reliability, and responsible experimentation.You have some experience or knowledge implementing data security and privacy in a Cloud environment.Highly Desirable But Not Required Skills IncludeExperience with cloud computing (Amazon Web Services preferred).Knowledgeable about the Machine Learning lifecycle.Experience with implementing Cloud Data Platform with emphasis on building out a Customer 360 platform. Perks Highly competitive benefit package State of the art technological environment Employee product discounts Create and shape our local company culture with the support of a fantastic global group Continuous training and career development  Are you interested?  We are looking forward to your application!  For further information about the opportunity or to apply, please contact us via ITCareers_Portugal@bose.com Note Thank you in advance for your application. After reviewing all the applications, we will only contact the candidates who fulfill the requirements for this position. So, if you don’t receive a contact in the next 15 days, we will keep your application for future opportunities that fit your profile.           Exibir mais                     Exibir menos             "
9,Data Engineer,                 BJSS               ,"               Lisboa, Portugal             ",                                                                                                                                                                       Há 6 dias          ,"   Are you a skilled data engineer who has helped enterprises deploy production-ready data platforms?  Are you keen to implement cutting edge cloud data services, with focus on how consumers use the platform?  Are you interested in building on your existing data and cloud experience?  About Us We’re an innovative tech consultancy - a team of problem solvers. Since 1993 we’ve been finding better ways to solve complex technology problems for some of the world’s leading organisations and delivered solutions that millions of people use every day. We bring together experts from diverse backgrounds and experiences in a collaborative and open culture to deliver outstanding outcomes for our clients, and a stimulating and rewarding environment for our people. We’re looking for data specialists with experience in Data Development, ETL, Data Warehousing and dealing with large sets of structured, semi-structured and unstructured data. About the Role As a BJSS data engineer you’ll help our clients deploy data pipelines and processes in a production-safe manner, using the latest technologies and with a DataOps culture. You’ll work in a fast moving, agile environment, within multi-disciplinary teams, delivering modern data platforms into large organisations. You’ll get to work with some of the brightest and best in the industry on some of the most exciting digital programmes around.  About You You’ll have the expertise and confidence to work collaboratively with engineers, architects and business analysts in multi-disciplinary teams on client site, and have experience in several of these areas:PythonAWS, Azure or GCP data services (e.g. Data Factory, Synapse, Redshift, Glue, Athena, BigQuery, Cloud Data Fusion etc)At least one distributed NoSQL database (e.g. HBase, Cassandra). Stream processing technologies such as Kafka, Kinesis etc. Hadoop ecosystem exposure.            Exibir mais                     Exibir menos             "
